1, 2, T, 2, 2, 1, 2, 1, 2, T, 1, 1, 1, 2, 2, 3, T, 2, T, 2
2, T, 4, T, 3, T, 3, T, 4, 2, 2, 1, T, 3, T, T, 3, 3, 2, T
T, 4, T, 5, T, 5, 6, T, 5, T, 4, 3, 2, 3, T, 4, T, 2, 3, 2
T, 5, 3, T, T, T, T, T, 4, T, T, T, 4, 4, 4, 5, 5, T, 3, T
T, T, 4, 4, 6, T, T, 5, 4, 4, 6, T, T, T, T, T, T, T, 4, 2
T, 5, T, T, 3, T, T, 5, T, T, 5, T, 4, 4, 5, T, 5, 4, 4, T
1, 3, T, 4, 3, 5, T, T, 6, T, T, 3, 2, 3, T, 3, 2, T, T, 3
1, 3, 3, 5, T, 5, T, T, 6, T, T, 4, 3, T, T, 3, 3, 3, 5, T
T, 5, T, T, T, 6, T, T, 6, T, T, T, 4, T, 5, T, 4, T, 3, T
T, T, T, 6, T, T, 6, 6, T, T, 7, 6, T, 3, 3, T, T, 3, 4, 2
T, T, 4, T, 4, T, T, T, T, T, T, T, T, 3, 1, 2, 3, T, 3, T
T, 4, 3, 3, 5, 4, 5, T, T, T, 7, 6, T, 3, 2, 2, 3, 4, T, 3
T, 2, 2, T, T, T, 5, 5, T, T, T, T, 4, 3, T, T, 3, T, T, 4
1, 1, 2, T, T, T, T, T, 4, 4, 4, T, T, 3, 3, 4, 6, T, T, T
G, G, 2, 3, 6, T, 7, 6, T, 2, 2, 4, T, 3, 3, T, T, T, 7, 4
1, 1, 1, T, 4, T, T, T, T, 4, 2, T, 2, 2, T, T, 5, T, T, T
T, 4, 3, 2, 4, T, T, 6, T, 4, T, 5, 4, 4, 5, 4, 3, 3, 5, 4
T, T, T, 4, 5, T, 5, T, 3, 4, T, T, T, T, T, T, 4, 3, T, T
3, 6, T, T, T, T, 4, 3, T, 3, 4, 6, T, T, T, T, T, T, 4, 2
T, 3, T, 4, 3, 3, T, 2, 2, T, 2, T, T, 5, T, 4, 4, T, 2, G
